Country,Iso3,Who region,Month Start,Month Lab,Cases,Deaths
Cameroon,CMR,AFRO,01/03/2024,Mar-24,0,0
Cameroon,CMR,AFRO,01/04/2024,Apr-24,3,1
Cameroon,CMR,AFRO,01/05/2024,May-24,0,0
Cameroon,CMR,AFRO,01/06/2024,Jun-24,0,0
Cameroon,CMR,AFRO,01/07/2024,Jul-24,0,0
Cameroon,CMR,AFRO,01/08/2024,Aug-24,0,0
Cameroon,CMR,AFRO,01/09/2024,Sep-24,1,0
Cameroon,CMR,AFRO,01/10/2024,Oct-24,0,0
Canada,CAN,AMRO,01/11/2023,Nov-23,7,0
Canada,CAN,AMRO,01/12/2023,Dec-23,3,0
Canada,CAN,AMRO,01/01/2024,Jan-24,8,0
Canada,CAN,AMRO,01/02/2024,Feb-24,24,0
Canada,CAN,AMRO,01/03/2024,Mar-24,12,0
Canada,CAN,AMRO,01/04/2024,Apr-24,14,0
Canada,CAN,AMRO,01/05/2024,May-24,22,0
Canada,CAN,AMRO,01/06/2024,Jun-24,29,0
Canada,CAN,AMRO,01/07/2024,Jul-24,66,0
Canada,CAN,AMRO,01/08/2024,Aug-24,63,0
Canada,CAN,AMRO,01/09/2024,Sep-24,17,0
Canada,CAN,AMRO,01/10/2024,Oct-24,0,0
Central African Republic,CAF,AFRO,01/11/2023,Nov-23,0,0
Central African Republic,CAF,AFRO,01/12/2023,Dec-23,2,0
Central African Republic,CAF,AFRO,01/01/2024,Jan-24,5,0
Central African Republic,CAF,AFRO,01/02/2024,Feb-24,9,0
Central African Republic,CAF,AFRO,01/03/2024,Mar-24,4,0
Central African Republic,CAF,AFRO,01/04/2024,Apr-24,1,0
Central African Republic,CAF,AFRO,01/05/2024,May-24,0,0
Central African Republic,CAF,AFRO,01/06/2024,Jun-24,5,0
Central African Republic,CAF,AFRO,01/07/2024,Jul-24,17,1
Central African Republic,CAF,AFRO,01/08/2024,Aug-24,6,0
Central African Republic,CAF,AFRO,01/09/2024,Sep-24,10,0
Central African Republic,CAF,AFRO,01/10/2024,Oct-24,7,1
Chile,CHL,AMRO,01/11/2023,Nov-23,1,0
Chile,CHL,AMRO,01/12/2023,Dec-23,1,0
Chile,CHL,AMRO,01/01/2024,Jan-24,1,0
Chile,CHL,AMRO,01/02/2024,Feb-24,3,0
Chile,CHL,AMRO,01/03/2024,Mar-24,2,0
Chile,CHL,AMRO,01/04/2024,Apr-24,0,0
Chile,CHL,AMRO,01/05/2024,May-24,0,0
Chile,CHL,AMRO,01/06/2024,Jun-24,0,0
Chile,CHL,AMRO,01/07/2024,Jul-24,1,0
Chile,CHL,AMRO,01/08/2024,Aug-24,1,0
Chile,CHL,AMRO,01/09/2024,Sep-24,2,0
Chile,CHL,AMRO,01/10/2024,Oct-24,0,0
China,CHN,WPRO,01/11/2023,Nov-23,89,0
China,CHN,WPRO,01/12/2023,Dec-23,103,0
China,CHN,WPRO,01/01/2024,Jan-24,100,0
China,CHN,WPRO,01/02/2024,Feb-24,73,0
China,CHN,WPRO,01/03/2024,Mar-24,54,0
China,CHN,WPRO,01/04/2024,Apr-24,42,0
China,CHN,WPRO,01/05/2024,May-24,57,0
China,CHN,WPRO,01/06/2024,Jun-24,58,0
China,CHN,WPRO,01/07/2024,Jul-24,56,1
China,CHN,WPRO,01/08/2024,Aug-24,63,0
China,CHN,WPRO,01/09/2024,Sep-24,19,0
China,CHN,WPRO,01/10/2024,Oct-24,61,0
Colombia,COL,AMRO,01/11/2023,Nov-23,10,0
Colombia,COL,AMRO,01/12/2023,Dec-23,24,0
Colombia,COL,AMRO,01/01/2024,Jan-24,40,0
Colombia,COL,AMRO,01/02/2024,Feb-24,15,0
Colombia,COL,AMRO,01/03/2024,Mar-24,13,0
Colombia,COL,AMRO,01/04/2024,Apr-24,24,0
Colombia,COL,AMRO,01/05/2024,May-24,4,0
Colombia,COL,AMRO,01/06/2024,Jun-24,8,0
Colombia,COL,AMRO,01/07/2024,Jul-24,10,0
Colombia,COL,AMRO,01/08/2024,Aug-24,7,0
Colombia,COL,AMRO,01/09/2024,Sep-24,3,0
Colombia,COL,AMRO,01/10/2024,Oct-24,7,0
Congo,COG,AFRO,01/11/2023,Nov-23,1,0
Congo,COG,AFRO,01/12/2023,Dec-23,0,0
Congo,COG,AFRO,01/01/2024,Jan-24,4,0
Congo,COG,AFRO,01/02/2024,Feb-24,7,0
Congo,COG,AFRO,01/03/2024,Mar-24,8,0
Congo,COG,AFRO,01/04/2024,Apr-24,0,0
Congo,COG,AFRO,01/05/2024,May-24,0,0
Congo,COG,AFRO,01/06/2024,Jun-24,0,0
Congo,COG,AFRO,01/07/2024,Jul-24,0,0
Congo,COG,AFRO,01/08/2024,Aug-24,2,0
Congo,COG,AFRO,01/09/2024,Sep-24,1,0
Congo,COG,AFRO,01/10/2024,Oct-24,0,0
Costa Rica,CRI,AMRO,01/11/2023,Nov-23,0,0
Costa Rica,CRI,AMRO,01/12/2023,Dec-23,0,0
Costa Rica,CRI,AMRO,01/01/2024,Jan-24,0,0
Costa Rica,CRI,AMRO,01/02/2024,Feb-24,0,0
Costa Rica,CRI,AMRO,01/03/2024,Mar-24,1,0
Costa Rica,CRI,AMRO,01/04/2024,Apr-24,0,0
Costa Rica,CRI,AMRO,01/05/2024,May-24,0,0
Costa Rica,CRI,AMRO,01/06/2024,Jun-24,0,0
Costa Rica,CRI,AMRO,01/07/2024,Jul-24,0,0
Costa Rica,CRI,AMRO,01/08/2024,Aug-24,0,0
Costa Rica,CRI,AMRO,01/09/2024,Sep-24,0,0
Costa Rica,CRI,AMRO,01/10/2024,Oct-24,0,0
Croatia,HRV,EURO,01/11/2023,Nov-23,0,0
Croatia,HRV,EURO,01/12/2023,Dec-23,0,0
Croatia,HRV,EURO,01/01/2024,Jan-24,0,0
Croatia,HRV,EURO,01/02/2024,Feb-24,0,0
Croatia,HRV,EURO,01/03/2024,Mar-24,0,0
Croatia,HRV,EURO,01/04/2024,Apr-24,1,0
Croatia,HRV,EURO,01/05/2024,May-24,0,0
Croatia,HRV,EURO,01/06/2024,Jun-24,0,0
Croatia,HRV,EURO,01/07/2024,Jul-24,0,0
Croatia,HRV,EURO,01/08/2024,Aug-24,0,0
Croatia,HRV,EURO,01/09/2024,Sep-24,0,0
Croatia,HRV,EURO,01/10/2024,Oct-24,0,0
Cuba,CUB,AMRO,01/11/2023,Nov-23,0,0
Cuba,CUB,AMRO,01/12/2023,Dec-23,0,0
Cuba,CUB,AMRO,01/01/2024,Jan-24,0,0
Cuba,CUB,AMRO,01/02/2024,Feb-24,0,0
Cuba,CUB,AMRO,01/03/2024,Mar-24,0,0
Cuba,CUB,AMRO,01/04/2024,Apr-24,0,0
Cuba,CUB,AMRO,01/05/2024,May-24,0,0
Cuba,CUB,AMRO,01/06/2024,Jun-24,0,0
Cuba,CUB,AMRO,01/07/2024,Jul-24,0,0
Cuba,CUB,AMRO,01/08/2024,Aug-24,0,0
Cuba,CUB,AMRO,01/09/2024,Sep-24,0,0
Cuba,CUB,AMRO,01/10/2024,Oct-24,0,0
Curaçao,CUW,AMRO,01/11/2023,Nov-23,0,0
Curaçao,CUW,AMRO,01/12/2023,Dec-23,0,0
Curaçao,CUW,AMRO,01/01/2024,Jan-24,0,0
Curaçao,CUW,AMRO,01/02/2024,Feb-24,0,0
Curaçao,CUW,AMRO,01/03/2024,Mar-24,0,0
Curaçao,CUW,AMRO,01/04/2024,Apr-24,0,0
Curaçao,CUW,AMRO,01/05/2024,May-24,0,0
Curaçao,CUW,AMRO,01/06/2024,Jun-24,0,0
Curaçao,CUW,AMRO,01/07/2024,Jul-24,0,0
Curaçao,CUW,AMRO,01/08/2024,Aug-24,0,0
Curaçao,CUW,AMRO,01/09/2024,Sep-24,0,0
Curaçao,CUW,AMRO,01/10/2024,Oct-24,0,0
Cyprus,CYP,EURO,01/11/2023,Nov-23,0,0
Cyprus,CYP,EURO,01/12/2023,Dec-23,0,0
Cyprus,CYP,EURO,01/01/2024,Jan-24,0,0
Cyprus,CYP,EURO,01/02/2024,Feb-24,0,0
Cyprus,CYP,EURO,01/03/2024,Mar-24,0,0
Cyprus,CYP,EURO,01/04/2024,Apr-24,0,0
Cyprus,CYP,EURO,01/05/2024,May-24,0,0
Cyprus,CYP,EURO,01/06/2024,Jun-24,0,0
Cyprus,CYP,EURO,01/07/2024,Jul-24,0,0
Cyprus,CYP,EURO,01/08/2024,Aug-24,0,0
Cyprus,CYP,EURO,01/09/2024,Sep-24,0,0
Cyprus,CYP,EURO,01/10/2024,Oct-24,0,0
Czechia,CZE,EURO,01/11/2023,Nov-23,0,0
Czechia,CZE,EURO,01/12/2023,Dec-23,0,0
Czechia,CZE,EURO,01/01/2024,Jan-24,1,0
Czechia,CZE,EURO,01/02/2024,Feb-24,6,0
Czechia,CZE,EURO,01/03/2024,Mar-24,0,0
Czechia,CZE,EURO,01/04/2024,Apr-24,3,0
Czechia,CZE,EURO,01/05/2024,May-24,1,0
